ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0671047884,Before I Say Good-bye,Mary Higgins Clark,2000,Simon &amp; Schuster Audio,http://images.amazon.com/images/P/0671047884.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671047884.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671047884.01.LZZZZZZZ.jpg
044021212X,A Candidate for Murder,Joan Lowery Nixon,1992,Laure Leaf,http://images.amazon.com/images/P/044021212X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044021212X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044021212X.01.LZZZZZZZ.jpg
0451163494,The Key to Rebecca,Ken Follett,1989,Signet Book,http://images.amazon.com/images/P/0451163494.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451163494.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451163494.01.LZZZZZZZ.jpg
1882413342,The Summer of Black Widows,Sherman Alexie,1996,Hanging Loose Press,http://images.amazon.com/images/P/1882413342.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1882413342.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1882413342.01.LZZZZZZZ.jpg
0553157396,Encyclopedia Brown and the Case of the Mysterious Handprints,Donald J. Sobol,1986,Random House Childrens Books,http://images.amazon.com/images/P/0553157396.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553157396.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553157396.01.LZZZZZZZ.jpg
0802709567,Woodsedge,Barbara Knight,1987,Walker &amp; Company,http://images.amazon.com/images/P/0802709567.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802709567.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802709567.01.LZZZZZZZ.jpg
1577656768,Adventures of Huckleberry Finn (Great Illustrated Classics),Mark Twain,2002,Abdo &amp; Daughters Publishing,http://images.amazon.com/images/P/1577656768.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1577656768.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1577656768.01.LZZZZZZZ.jpg
1555038093,Primary Partners: Nursery-Age 3: A-Z Activities to Make Learning Fun,Mary H. Ross,1996,Covenant Communications,http://images.amazon.com/images/P/1555038093.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1555038093.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1555038093.01.LZZZZZZZ.jpg
0006179983,Ferry Down-Voyage To Disaster,Callison,1999,Trafalgar Square,http://images.amazon.com/images/P/0006179983.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0006179983.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0006179983.01.LZZZZZZZ.jpg
0716613921,"The World Book of Math Power, Vol. 1 and 2 (2 Volume Set)",Dick Dell,1995,World Book Inc,http://images.amazon.com/images/P/0716613921.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0716613921.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0716613921.01.LZZZZZZZ.jpg
0515062960,A Miracle in Music,Barbara Carltand,1982,Jove Books,http://images.amazon.com/images/P/0515062960.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515062960.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515062960.01.LZZZZZZZ.jpg
0688417922,The Magic Pot,Patricia Coombs,1977,Harpercollins Juvenile Books,http://images.amazon.com/images/P/0688417922.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688417922.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688417922.01.LZZZZZZZ.jpg
0762100354,"Mammals, Reptiles and Amphibians: North American Wildlife (North American Wildlife)",Readers Digest,1998,Reader's Digest Association,http://images.amazon.com/images/P/0762100354.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0762100354.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0762100354.01.LZZZZZZZ.jpg
0525483780,The Exile,William Kotzwinkle,1988,Penguin USA,http://images.amazon.com/images/P/0525483780.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525483780.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525483780.01.LZZZZZZZ.jpg
0380820064,And Then He Kissed Me (Avon Romance),Patti Berg,2003,Avon,http://images.amazon.com/images/P/0380820064.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380820064.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380820064.01.LZZZZZZZ.jpg
0345439740,The Temple of Gold,William Goldman,2001,Ballantine Books,http://images.amazon.com/images/P/0345439740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345439740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345439740.01.LZZZZZZZ.jpg
0380810298,Mouth to Mouth,Michael Kimball,2001,HarperTorch,http://images.amazon.com/images/P/0380810298.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380810298.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380810298.01.LZZZZZZZ.jpg
